"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"KEY_DLC3_MOUNTEGG_NAME","Text",,"HAMMERFALL CRATER",,,,,,"КРАТЕР ""УДАР МОЛОТА""","CRÁTER DE CAÍDA DE MARTILLO",
"KEY_DLC3_THE_GIFT","Text",,"AURORA",,,,,,"АВРОРА","AURORA",
"KEY_MARKETPLACE_HAVEN_ADDITIONAL_HEADER","Text",,"The Bazaar",,"Le Bazar",,,,"Рынок","El Bazar",
"KEY_MARKETPLACE_DESCRIPTION_1","Text","not used","The leader of the haven, Sol ""Maker"" Markus, is fascinated by the esoteric and the occult. He has requested that we retrieve a Drop-Ka stone that he has located in a Pre-War collection. ",,"Le chef du refuge, Sol ""Maker"" Markus, est fasciné par l’ésotérique et l’occulte. Il a demandé que nous récupérions une pierre Drop-Ka qu’il a localisée dans une collection d’avant-guerre. ",,,,"Лидер убежища, Сол ""Создатель"" Маркус, увлекается эзотерикой и оккультизмом. Он попросил нас достать камень Брось-Ка, следы которого он обнаружил в каком-то довоенном музее.","El líder del refugio, Sol ""Maker"" Markus, está fascinado por lo esotérico y lo oculto. Ha solicitado que recuperemos una piedra Drop-Ka que ha localizado en una colección de antes de la guerra. ",
"KEY_MARKETPLACE_DESCRIPTION_2","Text","not used","Sol is happy and reminds us to do as we are told if we want to receive further blessings",,"Sol est heureux et nous rappelle de faire ce qu’on nous dit, si nous voulons recevoir d’autres bénédictions",,,,"Сол счастлив и напоминает нам, что нужно делать то, что нам говорят, если мы хотим получать дальнейшие благословления","Sol está feliz y nos recuerda que hagamos lo que nos dicen si queremos recibir más bendiciones.",
"KEY_MARKETPLACE_DESCRIPTION_3","Text","not used","Sol has received the Bionics tech. He hints that Subject 24 should be destroyed.",,"Sol a reçu la technologie bionique. Il suggère que le sujet 24 devrait être détruit.",,,,"Сол получил технологию бионики. Он намекает, что Подопытный №24 должен быть уничтожен.","Sol ha recibido la tecnología Bionics. Insinúa que el Sujeto 24 debería ser destruido.",
"KEY_MARKETPLACE_DESCRIPTION_4","Text","not used","Sol is happy because we destroyed the fortress",,"Sol est heureux parce que nous avons détruit la forteresse",,,,"Сол счастлив, потому что мы уничтожили крепость.","Sol está feliz porque destruimos la fortaleza.",
"KEY_MARKETPLACE_DESCRIPTION_5","Text",,"Enjoy the sights and pungent smells!",,"Profitez des vues et des odeurs piquantes !",,,,"Наслаждайтесь пестрыми видами и необычными запахами!","¡Disfruta de las vistas y los olores penetrantes!",
"DLC5/KEY_MARKETPLACE_HAVEN_HEADER","Text",,"BAZAAR HAVEN",,"REFUGE DU BAZAR",,,,"УБЕЖИЩЕ-БАЗАР","REFUGIO DEL BAZAR",
"DLC5/KEY_KAOS_SYNDICATE","Text",,"The Bazaar",,"Le Bazar",,,,"Рынок","El Bazar",
"DLC5/KEY_MARKETPLACE_ACCEPT_MISSION","Text","not used","ACCEPT",,"ACCEPTER",,,,"ПРИНЯТЬ МИССИЮ","ACEPTAR",
"DLC5/KEY_MARKETPLACE_LOCATE_MISSION","Text","not used","DO NOT TRY SOL'S PATIENCE",,"NE JOUER PAS AVEC LA PATIENCE DE SOL",,,,"НЕ ИСПЫТЫВАЙТЕ ТЕРПЕНИЕ СОЛА","NO PROBES LA PACIENCIA DE SOL",
"DLC5/KEY_MARKETPLACE_MISSION_AVAILABLE","Text","not used","NEW MISSION AVAILABLE",,"NOUVELLE MISSION DISPONIBLE",,,,"ДОСТУПНА НОВАЯ МИССИЯ","NUEVA MISIÓN DISPONIBLE",
